Number,Site,Transect
457,S4,T2
462,S4,T2
465,S4,T2
467,S4,T2
468,S4,T2
419,S4,T3
476,S4,T3
485,S4,T3
488,S4,T3
489,S4,T3
528,S4,T3
493,S4,T5
633,S4,T5
599,S4,T6
761,S5,T1
782,S5,T1
788,S5,T1
817,S5,T1
899,S5,T1
907,S5,T2
908,S5,T2
912,S5,T2
913,S5,T2
914,S5,T2
915,S5,T2
955,S5,T2
956,S5,T2
957,S5,T2
961,S5,T2
962,S5,T2
963,S5,T2
964,S5,T2
967,S5,T2
968,S5,T2
969,S5,T2
973,S5,T2
974,S5,T2
976,S5,T2
977,S5,T2
978,S5,T2
986,S5,T2
987,S5,T2
989,S5,T2
993,S5,T2
995,S5,T2
996,S5,T2
999,S5,T2
1001,S5,T2
1002,S5,T2
1005,S5,T2
1007,S5,T2
1008,S5,T2
1009,S5,T2
1013,S5,T2
1015,S5,T2
1024,S5,T2
1025,S5,T2
1026,S5,T2
1029,S5,T2
1033,S5,T2
1034,S5,T2
1038,S5,T2
1039,S5,T2
1042,S5,T2
1045,S5,T2
1046,S5,T2
1052,S5,T2
1054,S5,T2
1092,S5,T2
1095,S5,T2
1096,S5,T2
1097,S5,T2
1101,S5,T2
1103,S5,T2
1108,S5,T2
1164,S5,T2
1165,S5,T2
1171,S5,T2
1181,S5,T2
929,S5,T3
933,S5,T3
934,S5,T3
936,S5,T3
938,S5,T3
943,S5,T3
946,S5,T3
948,S5,T3
952,S5,T3
953,S5,T3
954,S5,T3
1047,S5,T3
1060,S5,T3
1077,S5,T3
1081,S5,T3
1086,S5,T3
1087,S5,T3
1110,S5,T3
1112,S5,T3
1115,S5,T3
1117,S5,T3
1122,S5,T3
1123,S5,T3
1126,S5,T3
1127,S5,T3
1130,S5,T3
1132,S5,T3
1134,S5,T3
1137,S5,T3
1139,S5,T3
1142,S5,T3
1143,S5,T3
1145,S5,T3
1158,S5,T3
1149,S5,T4
1150,S5,T4
1151,S5,T4
1152,S5,T4
1154,S5,T4
1155,S5,T4
1157,S5,T4
1183,S5,T4
1184,S5,T4
1185,S5,T4
1186,S5,T4
1187,S5,T4
1188,S5,T4
1189,S5,T4
1190,S5,T4
1191,S5,T4
1192,S5,T4
1193,S5,T4
1194,S5,T4
1195,S5,T4
1196,S5,T4
1197,S5,T4
1198,S5,T4
1199,S5,T4
1200,S5,T4
1201,S5,T4
1204,S5,T4
1203,S5,T4
1205,S5,T4
1206,S5,T4
1207,S5,T4
1208,S5,T4
1209,S5,T4
1210,S5,T4
1211,S5,T4
1212,S5,T4
1213,S5,T4
1215,S5,T4
1216,S5,T4
1217,S5,T4
1219,S5,T4
1220,S5,T4
1224,S5,T4
1225,S5,T4
1226,S5,T4
1227,S5,T4
1228,S5,T4
1229,S5,T4
1230,S5,T4
1262,S5,T4
1263,S5,T4
1314,S1,T5
1294,S5,T5
1295,S5,T5
1296,S5,T5
1298,S5,T5
1299,S5,T5
1300,S5,T5
1301,S5,T5
1302,S5,T5
1303,S5,T5
1316,S5,T5
1326,S5,T5
1327,S5,T5
1328,S5,T5
1329,S5,T5
1330,S5,T5
1331,S5,T5
1332,S5,T5
1333,S5,T5
1334,S5,T5
1336,S5,T5
1337,S5,T5
1338,S5,T5
1339,S5,T5
1340,S5,T5
1341,S5,T5
1342,S5,T5
1343,S5,T5
1344,S5,T5
1345,S5,T5
1346,S5,T5
1461,S15,T1
1360,S5,T6
1546,S2,T1
1547,S2,T1
1674,S2,T2
1690,S2,T3
1738,S2,T3
1749,S2,T3
1867,S2,T4
1948,S2,T4
1893,S2,T5
1994,S2,T5
2031,S2,T6
2034,S2,T6
2040,S2,T6
2044,S2,T6
2063,S15,T2
2171,S15,T2
2555,S15,T4
2556,S15,T4
2619,S15,T4
2634,S15,T4
2636,S15,T4
2638,S15,T4
2644,S15,T4
2647,S15,T4
2648,S15,T4
2654,S15,T4
2659,S15,T4
2677,S15,T4
2678,S15,T4
2533,S11,T3
2730,S11,T4
2466,S9,T2
2475,S18,T1
2586,S18,T1
2937,S18,T2
2965,S6,T1
3053,S6,T1
3081,S6,T2
3225,S6,T3
3226,S6,T3
3227,S6,T3
3252,S9,T3
3324,S9,T3
3226,S18,T3
3394,S12,T1
3466,S12,T1
3533,S14,T1
3560,S14,T1
3644,S14,T1
3719,S14,T1
3732,S14,T1
3684,S14,T2
3766,S14,T2
3818,S14,T2