Date,Site,Project,GPS_point_name,Lat,Lon
6/18/23,11,,Pocs11,-17.599562,-149.805807
6/18/23,11,,Pocs11t1s,-17.60206,-149.804827
6/18/23,11,,Pocs11t1e,-17.598208,-149.806313
6/20/23,11,,Pocs11t2,-17.602579,-149.804844
6/20/23,11,,Pocs11t2e,-17.603686,-149.804784
7/18/23,2,,Pocs2t6s,-17.494585,-149.85558
7/18/23,2,,Pocs2t6e,-17.494585,-149.85558
7/25/23,15,,Pocs15,-17.546532,-149.901006
7/25/23,15,,Pocs15t2s,-17.546535,-149.901053
7/25/23,15,,Pocs15t2e,-17.545648,-149.902703
7/29/23,15,,Pocs15t3s,-17.546334,-149.901208
7/29/23,15,,Pocs15t3e,-17.546679,-149.90147
8/6/23,15,,Pocs15t4,-17.546252,-149.90142
8/6/23,15,,Pocs15t4e,-17.547815,-149.900638
12/12/23,18,,S18T1,-17.494618,-149.923945
12/12/23,18,,S18T1end,-17.494461,-149.924382
12/20/23,11,,S11t3s,-17.602658,-149.805138
12/20/23,11,,S11t3e,-17.603039,-149.805381
12/20/23,11,,S11t4s,-17.602568,-149.805396
12/20/23,11,,S11t4e,-17.60287,-149.805655
12/21/23,11,,S11t5s,-17.602553,-149.80518
12/21/23,11,,S11t5e,-17.602587,-149.805199
12/21/23,11,,S11t5ee,-17.602537,-149.80543
12/22/23,11,,S11t6s,-17.60246,-149.805733
12/22/23,11,,S11t6e,-17.602469,-149.805754
12/22/23,11,,S11t6ee,-17.602469,-149.805754
12/23/23,9,,S9t1s,-17.42615,-150.039928
12/23/23,9,,S9t1ss,-17.565566,-149.784482
12/23/23,9,,S9t1e,-17.565566,-149.784482
12/23/23,9,,Site9,-17.565721,-149.785163
12/25/23,9,,S9t2e,-17.566197,-149.784821
12/25/23,9,,S9t2s,-17.565972,-149.785241
2/24/24,6,,Poc6,-17.506332,-149.761155
2/24/24,6,,S6t1e,-17.506341,-149.761151
2/24/24,6,,S6t1s,-17.506169,-149.761588
2/25/24,6,,S6t2s,-17.506089,-149.761632
2/25/24,6,,S6t2e,-17.506089,-149.761632
2/29/24,18,,S18t3s,-17.493703,-149.923794
2/29/24,18,,S18t3e,-17.493608,-149.924178
3/1/24,18,,S18t3s,-17.566067,-149.785222
3/1/24,18,,S18t3e,-17.566181,-149.784781