Sample.ID,Site,Haplotype,Species
21_02_01_01,LTER 1,Haplotype 3,P. verrucosa
21_02_01_02,LTER 1,Haplotype 1a,P. meandrina
21_02_01_03,LTER 1,Haplotype 1a,P. meandrina
21_02_01_04,LTER 1,Haplotype 8a,P. meandrina
21_02_01_05,LTER 1,Haplotype 1a,P. meandrina
21_02_01_06,LTER 1,Haplotype 3,P. verrucosa
21_02_01_07,LTER 1,Haplotype 8a,P. meandrina
21_02_01_08,LTER 1,Haplotype 10,P. tuahiniensis
21_02_01_09,LTER 1,Haplotype 1a,P. meandrina
21_02_01_10,LTER 1,Haplotype 1a,P. grandis
21_02_01_11,LTER 1,Haplotype 1a,P. grandis
21_02_01_12,LTER 1,Haplotype 1a,P. meandrina
21_02_01_13,LTER 1,Haplotype 1a,P. meandrina
21_02_01_14,LTER 1,Haplotype 1a,P. meandrina
21_02_01_15,LTER 1,Haplotype 10,P. tuahiniensis
21_02_01_16,LTER 1,Haplotype 3,P. verrucosa
21_02_01_17,LTER 1,Haplotype 1a,P. meandrina
21_02_01_18,LTER 1,Haplotype 1a,P. grandis
21_02_01_19,LTER 1,Haplotype 1a,P. meandrina
21_02_01_20,LTER 1,Haplotype 3,P. verrucosa
21_02_01_21,LTER 1,Haplotype 3,P. verrucosa
21_02_01_22,LTER 1,Haplotype 1a,P. meandrina
21_02_01_23,LTER 1,Haplotype 3,P. verrucosa
21_02_01_24,LTER 1,Haplotype 8a,P. meandrina
21_02_01_25,LTER 1,Haplotype 8a,P. meandrina
21_02_01_26,LTER 1,Haplotype 8a,P. meandrina
21_02_01_27,LTER 1,Haplotype 10,P. tuahiniensis
21_02_01_28,LTER 1,Haplotype 10,P. tuahiniensis
21_02_01_29,LTER 1,Haplotype 3,P. verrucosa
21_02_01_30,LTER 1,Haplotype 3,P. verrucosa
21_02_01_31,LTER 1,Haplotype 3,P. verrucosa
21_02_01_32,LTER 1,Haplotype 8a,P. meandrina
21_02_01_33,LTER 1,Haplotype 3,P. verrucosa
21_02_01_34,LTER 1,Haplotype 3,P. verrucosa
21_02_01_35,LTER 1,Haplotype 1a,P. grandis
21_02_01_36,LTER 1,Haplotype 1a,P. meandrina
21_02_01_37,LTER 1,Haplotype 1a,P. meandrina
21_02_01_38,LTER 1,Haplotype 1a,P. grandis
21_02_01_39,LTER 1,Haplotype 1a,P. meandrina
21_02_01_40,LTER 1,Haplotype 3,P. verrucosa
21_02_01_41,LTER 1,Haplotype 10,P. tuahiniensis
21_02_01_42,LTER 1,Haplotype 10,P. tuahiniensis
21_02_01_43,LTER 1,Haplotype 3,P. verrucosa
21_02_01_44,LTER 1,Haplotype 1a,P. grandis
21_02_01_45,LTER 1,Haplotype 1a,P. meandrina
21_02_01_46,LTER 1,Haplotype 1a,P. meandrina
21_02_01_47,LTER 1,Haplotype 1a,P. meandrina
21_02_01_48,LTER 1,Haplotype 1a,P. meandrina
21_02_01_49,LTER 1,Haplotype 1a,P. meandrina
21_02_01_50,LTER 1,Haplotype 1a,P. meandrina
21_02_01_51,LTER 1,Haplotype 5a,P. acuta
21_02_01_52,LTER 1,Haplotype 1a,P. meandrina
21_02_01_53,LTER 1,Haplotype 3,P. verrucosa
21_02_01_54,LTER 1,Haplotype 10,P. tuahiniensis
21_02_01_55,LTER 1,Haplotype 1a,P. meandrina
21_02_01_56,LTER 1,Haplotype 10,P. tuahiniensis
21_02_01_57,LTER 1,Haplotype 1a,P. grandis
21_02_01_58,LTER 1,Haplotype 3,P. verrucosa
21_02_01_59,LTER 1,Haplotype 3,P. verrucosa
21_02_01_60,LTER 1,Haplotype 1a,P. meandrina
21_02_01_61,LTER 1,Haplotype 10,P. tuahiniensis
21_02_02_01,LTER 2,Haplotype 1a,P. meandrina
21_02_02_02,LTER 2,Haplotype 8a,P. meandrina
21_02_02_03,LTER 2,Haplotype 1a,P. meandrina
21_02_02_04,LTER 2,Haplotype 10,P. tuahiniensis
21_02_02_05,LTER 2,Haplotype 1a,P. meandrina
21_02_02_06,LTER 2,Haplotype 3,P. verrucosa
21_02_02_07,LTER 2,Haplotype 3,P. verrucosa
21_02_02_08,LTER 2,Haplotype 3,P. verrucosa
21_02_02_09,LTER 2,Haplotype 1a,P. grandis
21_02_02_10,LTER 2,Haplotype 1a,P. meandrina
21_02_02_11,LTER 2,Haplotype 1a,P. grandis
21_02_02_12,LTER 2,Haplotype 8a,P. meandrina
21_02_02_13,LTER 2,Haplotype 8a,P. meandrina
21_02_02_14,LTER 2,Haplotype 1a,P. meandrina
21_02_02_15,LTER 2,Haplotype 10,P. tuahiniensis
21_02_02_16,LTER 2,Haplotype 1a,P. meandrina
21_02_02_17,LTER 2,Haplotype 3,P. verrucosa
21_02_02_18,LTER 2,Haplotype 1a,P. meandrina
21_02_02_19,LTER 2,Haplotype 8a,P. meandrina
21_02_02_20,LTER 2,Haplotype 1a,P. meandrina
21_02_02_21,LTER 2,Haplotype 1a,P. grandis
21_02_02_22,LTER 2,Haplotype 10,P. tuahiniensis
21_02_02_23,LTER 2,Haplotype 1a,P. grandis
21_02_02_24,LTER 2,Haplotype 10,P. tuahiniensis
21_02_02_25,LTER 2,Haplotype 8a,P. meandrina
21_02_02_26,LTER 2,Haplotype 3,P. verrucosa
21_02_02_27,LTER 2,Haplotype 8a,P. meandrina
21_02_02_28,LTER 2,Haplotype 1a,P. meandrina
21_02_02_29,LTER 2,Haplotype 1a,P. meandrina
21_02_02_30,LTER 2,Haplotype 10,P. tuahiniensis
21_02_02_31,LTER 2,Haplotype 1a,P. grandis
21_02_02_32,LTER 2,Haplotype 1a,P. meandrina
21_02_02_33,LTER 2,Haplotype 3,P. verrucosa
21_02_02_34,LTER 2,Haplotype 10,P. tuahiniensis
21_02_02_35,LTER 2,Haplotype 8a,P. meandrina
21_02_02_36,LTER 2,Haplotype 1a,P. meandrina
21_02_02_37,LTER 2,Haplotype 1a,P. meandrina
21_02_02_38,LTER 2,Haplotype 10,P. tuahiniensis
21_02_02_39,LTER 2,Haplotype 3,P. verrucosa
21_02_02_40,LTER 2,Haplotype 10,P. tuahiniensis
21_02_02_41,LTER 2,Haplotype 1a,P. grandis
21_02_02_42,LTER 2,Haplotype 1a,P. meandrina
21_02_02_43,LTER 2,Haplotype 1a,P. grandis
21_02_02_44,LTER 2,Haplotype 1a,P. meandrina
21_02_02_45,LTER 2,Haplotype 1a,P. meandrina
21_02_02_46,LTER 2,Haplotype 10,P. tuahiniensis
21_02_02_47,LTER 2,Haplotype 10,P. tuahiniensis
21_02_02_48,LTER 2,Haplotype 8a,P. meandrina
21_02_02_49,LTER 2,Haplotype 1a,P. meandrina
21_02_02_50,LTER 2,Haplotype 8a,P. meandrina
21_02_02_51,LTER 2,Haplotype 1a,P. meandrina
21_02_02_52,LTER 2,Haplotype 10,P. tuahiniensis
21_02_02_53,LTER 2,Haplotype 10,P. tuahiniensis
21_02_02_54,LTER 2,Haplotype 1a,P. meandrina
21_02_02_55,LTER 2,Haplotype 8a,P. meandrina
21_02_02_56,LTER 2,Haplotype 10,P. tuahiniensis
21_02_02_57,LTER 2,Haplotype 1a,P. meandrina
21_02_02_58,LTER 2,Haplotype 1a,P. meandrina
21_02_02_59,LTER 2,Haplotype 1a,P. meandrina
21_02_02_60,LTER 2,Haplotype 1a,P. meandrina
22_02_04_01,LTER 4,Haplotype 10,P. tuahiniensis
22_02_04_02,LTER 4,Haplotype 10,P. tuahiniensis
22_02_04_03,LTER 4,Haplotype 3,P. verrucosa
22_02_04_04,LTER 4,Haplotype 1a,P. meandrina
22_02_04_05,LTER 4,Haplotype 8a,P. meandrina
22_02_04_06,LTER 4,Haplotype 3,P. verrucosa
22_02_04_07,LTER 4,Haplotype 10,P. tuahiniensis
22_02_04_08,LTER 4,Haplotype 3,P. verrucosa
22_02_04_09,LTER 4,Haplotype 10,P. tuahiniensis
22_02_04_10,LTER 4,Haplotype 10,P. tuahiniensis
22_02_04_11,LTER 4,Haplotype 3,P. verrucosa
22_02_04_12,LTER 4,Haplotype 3,P. verrucosa
22_02_04_13,LTER 4,Haplotype 1a,P. meandrina
22_02_04_14,LTER 4,Haplotype 1a,P. meandrina
22_02_04_15,LTER 4,Haplotype 3,P. verrucosa
22_02_04_16,LTER 4,Haplotype 1a,P. meandrina
22_02_04_17,LTER 4,Haplotype 3,P. verrucosa
22_02_04_18,LTER 4,Haplotype 10,P. tuahiniensis
22_02_04_19,LTER 4,Haplotype 1a,P. meandrina
22_02_04_20,LTER 4,Haplotype 1a,P. meandrina
22_02_04_21,LTER 4,Haplotype 3,P. verrucosa
22_02_04_22,LTER 4,Haplotype 10,P. tuahiniensis
22_02_04_23,LTER 4,Haplotype 1a,P. meandrina
22_02_04_24,LTER 4,Haplotype 10,P. tuahiniensis
22_02_04_25,LTER 4,Haplotype 10,P. tuahiniensis
22_02_04_26,LTER 4,Haplotype 10,P. tuahiniensis
22_02_04_27,LTER 4,Haplotype 3,P. verrucosa
22_02_04_28,LTER 4,Haplotype 3,P. verrucosa
22_02_04_29,LTER 4,Haplotype 3,P. verrucosa
22_02_04_30,LTER 4,Haplotype 8a,P. meandrina
22_02_04_31,LTER 4,Haplotype 8a,P. meandrina
22_02_04_32,LTER 4,Haplotype 3,P. verrucosa
22_02_04_33,LTER 4,Haplotype 10,P. tuahiniensis
22_02_04_34,LTER 4,Haplotype 3,P. verrucosa
22_02_04_35,LTER 4,Haplotype 1a,P. grandis
22_02_04_36,LTER 4,Haplotype 8a,P. meandrina
22_02_04_37,LTER 4,Haplotype 1a,P. meandrina
22_02_04_38,LTER 4,Haplotype 1a,P. meandrina
22_02_04_39,LTER 4,Haplotype 1a,P. meandrina
22_02_04_40,LTER 4,Haplotype 3,P. verrucosa
22_02_04_41,LTER 4,Haplotype 10,P. tuahiniensis
22_02_04_42,LTER 4,Haplotype 1a,P. grandis
22_02_04_43,LTER 4,Haplotype 3,P. verrucosa
22_02_04_44,LTER 4,Haplotype 1a,P. meandrina
22_02_04_45,LTER 4,Haplotype 1a,P. meandrina
22_02_04_46,LTER 4,Haplotype 1a,P. grandis
22_02_04_47,LTER 4,Haplotype 3,P. verrucosa
22_02_04_48,LTER 4,Haplotype 1a,P. grandis
22_02_04_49,LTER 4,Haplotype 1a,P. meandrina
22_02_04_50,LTER 4,Haplotype 3,P. verrucosa
22_02_05_01,LTER 5,Haplotype 3,P. verrucosa
22_02_05_02,LTER 5,Haplotype 3,P. verrucosa
22_02_05_03,LTER 5,Haplotype 10,P. tuahiniensis
22_02_05_04,LTER 5,Haplotype 10,P. tuahiniensis
22_02_05_05,LTER 5,Haplotype 10,P. tuahiniensis
22_02_05_06,LTER 5,Haplotype 3,P. verrucosa
22_02_05_07,LTER 5,Haplotype 1a,P. meandrina
22_02_05_08,LTER 5,Haplotype 1a,P. meandrina
22_02_05_09,LTER 5,Haplotype 1a,P. meandrina
22_02_05_10,LTER 5,Haplotype 3,P. verrucosa
22_02_05_11,LTER 5,Haplotype 3,P. verrucosa
22_02_05_12,LTER 5,Haplotype 3,P. verrucosa
22_02_05_13,LTER 5,Haplotype 10,P. tuahiniensis
22_02_05_14,LTER 5,Haplotype 10,P. tuahiniensis
22_02_05_15,LTER 5,Haplotype 1a,P. meandrina
22_02_05_16,LTER 5,Haplotype 10,P. tuahiniensis
22_02_05_17,LTER 5,Haplotype 1a,P. meandrina
22_02_05_18,LTER 5,Haplotype 10,P. tuahiniensis
22_02_05_19,LTER 5,Haplotype 1a,P. meandrina
22_02_05_20,LTER 5,Haplotype 1a,P. meandrina
22_02_05_21,LTER 5,Haplotype 1a,P. meandrina
22_02_05_22,LTER 5,Haplotype 10,P. tuahiniensis
22_02_05_23,LTER 5,Haplotype 3,P. verrucosa
22_02_05_24,LTER 5,Haplotype 1a,P. meandrina
22_02_05_25,LTER 5,Haplotype 8a,P. meandrina
22_02_05_26,LTER 5,Haplotype 1a,P. grandis
22_02_05_27,LTER 5,Haplotype 10,P. tuahiniensis
22_02_05_28,LTER 5,Haplotype 2,Haplotype 2
22_02_05_29,LTER 5,Haplotype 3,P. verrucosa
22_02_05_30,LTER 5,Haplotype 10,P. tuahiniensis
22_02_05_31,LTER 5,Haplotype 1a,P. grandis
22_02_05_32,LTER 5,Haplotype 8a,P. meandrina
22_02_05_33,LTER 5,Haplotype 1a,P. meandrina
22_02_05_34,LTER 5,Haplotype 10,P. tuahiniensis
22_02_05_35,LTER 5,Haplotype 1a,P. meandrina
22_02_05_36,LTER 5,Haplotype 1a,P. grandis
22_02_05_37,LTER 5,Haplotype 8a,P. meandrina
22_02_05_38,LTER 5,Haplotype 10,P. tuahiniensis
22_02_05_39,LTER 5,Haplotype 1a,P. meandrina
22_02_05_40,LTER 5,Haplotype 10,P. tuahiniensis
22_02_05_41,LTER 5,Haplotype 10,P. tuahiniensis
22_02_05_42,LTER 5,Haplotype 1a,P. meandrina
22_02_05_43,LTER 5,Haplotype 3,P. verrucosa
22_02_05_44,LTER 5,Haplotype 8a,P. meandrina
22_02_05_45,LTER 5,Haplotype 1a,P. meandrina
22_02_05_46,LTER 5,Haplotype 1a,P. meandrina
22_02_05_47,LTER 5,Haplotype 1a,P. meandrina
22_02_05_48,LTER 5,Haplotype 1a,P. meandrina
22_02_05_49,LTER 5,Haplotype 1a,P. meandrina
22_02_05_50,LTER 5,Haplotype 3,P. verrucosa