,Site 4,Site 14,Site12
Pmean 1,538,,3493
Pmean 2,452,,3354
Pmean 3,418?,,3356
Pmean 4,422?,,3494
Pmean 5,429?,,3359
Pverr 1,,,3500
Pverr 2,,,3361
Pverr 3,,,3363
Pverr 4,,,3364
Pverr 5,,,3368
Ptua 1,421,,3369
Ptua 2,552,,3370
Ptua 3,,,3376
Ptua 4,,,3377
Ptua 5,,,3388
Pacuta 1,,3638,3502
Pacuta 2,,,3390
Pacuta 3,,,3394
Pacuta 4,454,,3447
Pacuta 5,546,,3396
Peffu 1,416,3708,3397
Peffu 2,417,,3400
Peffu 3,419,,3401
Peffu 4,430,,3402
Peffu 5,551,,3404
Pgrand 1,431?,3615?,3405
Pgrand 2,445?,3723?,3407
Pgrand 3,451?,3592?,3415
Pgrand 4,592?,3550?,3416
Pgrand 5,596?,3535?,3445