Collection.Date,Sample.ID,Stage,Site,Transect
5/10/22,489,Adult,S4,T3
5/10/22,507,Recruit,S4,T3
5/10/22,509,Adult,S4,T3
5/10/22,510,Recruit,S4,T3
5/10/22,515,Adult,S4,T3
5/10/22,518,NA,S4,T3
5/10/22,519,Recruit,S4,T3
5/10/22,528,Recruit,S4,T3
5/10/22,529,Adult,S4,T3
5/10/22,539,Recruit,S4,T3
5/10/22,619,NA,S4,T3
5/10/22,620,Recruit,S4,T3
6/10/22,491,Recruit,S4,T4
6/10/22,492,Recruit,S4,T4
6/10/22,494,Recruit,S4,T4
6/10/22,495,Recruit,S4,T4
6/10/22,496,Recruit,S4,T4
6/10/22,497,Recruit,S4,T4
6/10/22,498,Recruit,S4,T4
6/10/22,499,Recruit,S4,T4
6/10/22,500,Recruit,S4,T4
6/10/22,501,Recruit,S4,T4
6/10/22,502,Recruit,S4,T4
6/10/22,503,Recruit,S4,T4
6/10/22,504,Recruit,S4,T4
6/10/22,506,Recruit,S4,T4
6/10/22,508,Adult,S4,T4
6/10/22,514,Adult,S4,T4
6/10/22,516,Recruit,S4,T4
6/10/22,517,Recruit,S4,T4
6/10/22,558,Recruit,S4,T4
6/10/22,593,Recruit,S4,T4
6/10/22,493,Recruit,S4,T5
6/10/22,505,Adult,S4,T5
6/10/22,511,Recruit,S4,T5
6/10/22,512,Recruit,S4,T5
6/10/22,513,Adult,S4,T5
6/10/22,530,Recruit,S4,T5
6/10/22,531,Recruit,S4,T5
6/10/22,532,Recruit,S4,T5
6/10/22,553,Recruit,S4,T5
6/10/22,555,Recruit,S4,T5
6/10/22,585,Adult,S4,T5
6/10/22,586,Recruit,S4,T5
6/10/22,587,Adult,S4,T5
6/10/22,588,Recruit,S4,T5
6/10/22,589,Recruit,S4,T5
6/10/22,590,Recruit,S4,T5
6/10/22,591,Recruit,S4,T5
6/10/22,594,Recruit,S4,T5
6/10/22,626,Recruit,S4,T5
6/10/22,627,Recruit,S4,T5
6/10/22,628,Recruit,S4,T5
6/10/22,629,Recruit,S4,T5
6/10/22,630,Adult,S4,T5
6/10/22,631,Adult,S4,T5
6/10/22,632,Adult,S4,T5
6/10/22,633,Recruit,S4,T5
6/10/22,634,Adult,S4,T5
6/10/22,635,Adult,S4,T5
6/10/22,636,Adult,S4,T5
6/10/22,637,Adult,S4,T5
6/10/22,638,Recruit,S4,T5
6/10/22,639,Adult,S4,T5
6/10/22,640,Adult,S4,T5
6/10/22,641,Recruit,S4,T5
6/10/22,642,Recruit,S4,T5
6/10/22,643,Adult,S4,T5
6/10/22,644,Recruit,S4,T5
6/10/22,645,Adult,S4,T5
6/10/22,646,Recruit,S4,T5
6/10/22,647,Adult,S4,T5
6/10/22,648,Adult,S4,T5
6/10/22,649,Adult,S4,T5
6/10/22,650,Adult,S4,T5
6/10/22,527,NA,S4,T6
6/10/22,528,NA,S4,T6
6/10/22,533,Recruit,S4,T6
6/10/22,534,Adult,S4,T6
6/10/22,535,Adult,S4,T6
6/10/22,536,Adult,S4,T6
6/10/22,537,Recruit,S4,T6
6/10/22,538,Recruit,S4,T6
6/10/22,540,Adult,S4,T6
6/10/22,541,Adult,S4,T6
6/10/22,542,Adult,S4,T6
6/10/22,543,NA,S4,T6
6/10/22,545,Adult,S4,T6
6/10/22,546,Recruit,S4,T6
6/10/22,548,Recruit,S4,T6
6/10/22,549,Adult,S4,T6
6/10/22,550,Adult,S4,T6
6/10/22,551,Recruit,S4,T6
6/10/22,552,Recruit,S4,T6
6/10/22,554,Adult,S4,T6
6/10/22,556,Recruit,S4,T6
6/10/22,557,Recruit,S4,T6
6/10/22,562,NA,S4,T6
6/10/22,573,Adult,S4,T6
6/10/22,575,Adult,S4,T6
6/10/22,592,Recruit,S4,T6
6/10/22,595,Recruit,S4,T6
6/10/22,596,Recruit,S4,T6
6/10/22,597,Recruit,S4,T6
6/10/22,598,,S4,T6
6/10/22,599,Adult,S4,T6
6/10/22,600,Adult,S4,T6
6/10/22,601,Adult,S4,T6
6/10/22,602,Adult,S4,T6
6/10/22,603,Adult,S4,T6
6/10/22,604,Adult,S4,T6
6/10/22,605,Adult,S4,T6
6/10/22,606,Recruit,S4,T6
6/10/22,607,Recruit,S4,T6
6/10/22,608,Adult,S4,T6
6/10/22,609,Adult,S4,T6
6/10/22,610,Adult,S4,T6
6/10/22,611,Adult,S4,T6
6/10/22,612,Recruit,S4,T6
6/10/22,613,NA,S4,T6
6/10/22,614,NA,S4,T6
6/10/22,615,NA,S4,T6
6/10/22,616,Adult,S4,T6
6/10/22,617,NA,S4,T6
6/10/22,618,Recruit,S4,T6
6/10/22,652,Adult,S4,T6
6/10/22,675,NA,S4,T6
6/10/22,698,Adult,S4,T6
7/10/22,563,NA,S4,T7
7/10/22,576,NA,S4,T7
7/10/22,654,NA,S4,T7
7/10/22,655,NA,S4,T7
7/10/22,656,NA,S4,T7
7/10/22,657,NA,S4,T7
7/10/22,674,NA,S4,T7
7/2/23,740,Recruit,S5,T1
7/2/23,741,Recruit,S5,T1
7/2/23,742,Recruit,S5,T1
7/2/23,743,Recruit,S5,T1
7/2/23,744,Recruit,S5,T1
7/2/23,745,Adult,S5,T1
7/2/23,746,Recruit,S5,T1
7/2/23,747,Adult,S5,T1
7/2/23,748,Recruit,S5,T1
7/2/23,749,Adult,S5,T1
7/2/23,751,Recruit,S5,T1
7/2/23,752,Recruit,S5,T1
7/2/23,753,Recruit,S5,T1
7/2/23,754,Recruit,S5,T1
7/2/23,755,Recruit,S5,T1
7/2/23,756,Adult,S5,T1
7/2/23,757,Adult,S5,T1
7/2/23,758,Recruit,S5,T1
7/2/23,759,Adult,S5,T1
7/2/23,760,Recruit,S5,T1
7/2/23,761,Recruit,S5,T1
7/2/23,762,Recruit,S5,T1
7/2/23,763,Recruit,S5,T1
7/2/23,764,Recruit,S5,T1
7/2/23,765,Recruit,S5,T1
7/2/23,766,Recruit,S5,T1
7/2/23,767,Recruit,S5,T1
7/2/23,768,Adult,S5,T1
7/2/23,779,Recruit,S5,T1
7/2/23,780,Recruit,S5,T1
7/2/23,781,Adult,S5,T1
7/2/23,782,Recruit,S5,T1
7/2/23,783,Adult,S5,T1
7/2/23,784,Recruit,S5,T1
7/2/23,785,Recruit,S5,T1
7/2/23,786,Recruit,S5,T1
7/2/23,787,Adult,S5,T1
7/2/23,788,Recruit,S5,T1
7/2/23,789,Adult,S5,T1
7/2/23,790,Recruit,S5,T1
7/2/23,791,Recruit,S5,T1
7/2/23,792,Adult,S5,T1
7/2/23,793,Recruit,S5,T1
7/2/23,794,Recruit,S5,T1
7/2/23,795,Recruit,S5,T1
7/2/23,796,Recruit,S5,T1
7/2/23,797,Adult,S5,T1
7/2/23,798,Adult,S5,T1
7/2/23,803,Recruit,S5,T1
7/2/23,804,Recruit,S5,T1
7/2/23,805,Recruit,S5,T1
7/2/23,806,Adult,S5,T1
7/2/23,807,Recruit,S5,T1
7/2/23,808,Recruit,S5,T1
7/2/23,809,Recruit,S5,T1
7/2/23,810,Recruit,S5,T1
7/2/23,811,Recruit,S5,T1
7/2/23,812,Recruit,S5,T1
7/2/23,813,Recruit,S5,T1
7/2/23,814,Adult,S5,T1
7/2/23,815,Recruit,S5,T1
7/2/23,816,Recruit,S5,T1
7/2/23,817,Recruit,S5,T1
7/2/23,818,Adult,S5,T1
7/2/23,819,Recruit,S5,T1
7/2/23,820,Recruit,S5,T1
7/2/23,821,Recruit,S5,T1
7/2/23,822,Adult,S5,T1
7/2/23,823,Recruit,S5,T1
7/2/23,824,Recruit,S5,T1
7/2/23,825,Adult,S5,T1
7/2/23,826,Recruit,S5,T1
7/2/23,827,Recruit,S5,T1
7/2/23,828,Adult,S5,T1
7/2/23,829,Adult,S5,T1
7/2/23,830,Adult,S5,T1
7/2/23,831,Recruit,S5,T1
7/2/23,833,Recruit,S5,T1
7/2/23,834,Recruit,S5,T1
7/2/23,835,Recruit,S5,T1
7/2/23,836,Recruit,S5,T1
7/2/23,838,Recruit,S5,T1
7/2/23,870,Recruit,S5,T1
7/2/23,871,Adult,S5,T1
7/2/23,872,Adult,S5,T1
7/2/23,873,Recruit,S5,T1
7/2/23,874,Recruit,S5,T1
7/2/23,875,Recruit,S5,T1
7/2/23,876,Recruit,S5,T1
7/2/23,877,Recruit,S5,T1
7/2/23,877,Recruit,S5,T1
7/2/23,878,Recruit,S5,T1
7/2/23,879,Recruit,S5,T1
7/2/23,880,Recruit,S5,T1
7/2/23,881,Recruit,S5,T1
7/2/23,882,Recruit,S5,T1
7/2/23,883,Adult,S5,T1
7/2/23,884,Recruit,S5,T1
7/2/23,885,Recruit,S5,T1
7/2/23,886,NA,S5,T1
7/2/23,887,Recruit,S5,T1
7/2/23,888,NA,S5,T1
7/2/23,889,Recruit,S5,T1
7/2/23,890,Recruit,S5,T1
7/2/23,891,Adult,S5,T1
7/2/23,892,Recruit,S5,T1
7/2/23,893,Adult,S5,T1
7/2/23,895,Recruit,S5,T1
7/2/23,896,Recruit,S5,T1
7/2/23,897,Recruit,S5,T1
7/2/23,898,Recruit,S5,T1
7/2/23,899,Recruit,S5,T1
7/2/23,902,Adult,S5,T1
7/2/23,909,Recruit,S5,T1
7/2/23,910,Recruit,S5,T1
7/2/23,916,Recruit,S5,T1
7/2/23,918,Recruit,S5,T1
7/2/23,920,Recruit,S5,T1
7/2/23,921,Recruit,S5,T1
7/2/23,922,Recruit,S5,T1
7/2/23,923,Recruit,S5,T1
7/2/23,924,Recruit,S5,T1
7/2/23,925,Recruit,S5,T1
7/2/23,926,Recruit,S5,T1
7/2/23,927,Recruit,S5,T1
7/2/23,928,Adult,S5,T1
12/2/23,907,Recruit,S5,T2
12/2/23,908,Recruit,S5,T2
12/2/23,911,Recruit,S5,T2
12/2/23,912,Recruit,S5,T2
12/2/23,913,Recruit,S5,T2
12/2/23,914,Recruit,S5,T2
12/2/23,915,Adult,S5,T2
12/2/23,917,Recruit,S5,T2
12/2/23,919,Recruit,S5,T2
12/2/23,935,Recruit,S5,T2
12/2/23,955,Adult,S5,T2
12/2/23,956,Recruit,S5,T2
12/2/23,957,Recruit,S5,T2
12/2/23,958,Adult,S5,T2
12/2/23,959,Recruit,S5,T2
12/2/23,960,Adult,S5,T2
12/2/23,961,Recruit,S5,T2
12/2/23,962,Recruit,S5,T2
12/2/23,963,Recruit,S5,T2
12/2/23,964,Recruit,S5,T2
12/2/23,965,Recruit,S5,T2
12/2/23,966,Adult,S5,T2
12/2/23,967,Recruit,S5,T2
12/2/23,968,Recruit,S5,T2
12/2/23,969,Recruit,S5,T2
12/2/23,970,Adult,S5,T2
12/2/23,971,Adult,S5,T2
12/2/23,972,Adult,S5,T2
12/2/23,973,Recruit,S5,T2
12/2/23,974,Recruit,S5,T2
12/2/23,975,Recruit,S5,T2
12/2/23,976,NA,S5,T2
12/2/23,977,Recruit,S5,T2
12/2/23,978,Adult,S5,T2
12/2/23,980,Adult,S5,T2
12/2/23,981,Recruit,S5,T2
12/2/23,982,Recruit,S5,T2
12/2/23,983,Recruit,S5,T2
12/2/23,984,Recruit,S5,T2
12/2/23,985,Recruit,S5,T2
12/2/23,986,Recruit,S5,T2
12/2/23,987,Adult,S5,T2
12/2/23,988,Recruit,S5,T2
12/2/23,989,Recruit,S5,T2
12/2/23,990,Adult,S5,T2
12/2/23,991,Recruit,S5,T2
12/2/23,992,Recruit,S5,T2
12/2/23,993,Adult,S5,T2
12/2/23,994,Adult,S5,T2
12/2/23,995,Adult,S5,T2
12/2/23,996,Adult,S5,T2
12/2/23,997,Recruit,S5,T2
12/2/23,998,Adult,S5,T2
12/2/23,999,Adult,S5,T2
12/2/23,1000,Adult,S5,T2
12/2/23,1001,Recruit,S5,T2
12/2/23,1002,Recruit,S5,T2
12/2/23,1003,Recruit,S5,T2
12/2/23,1004,Recruit,S5,T2
12/2/23,1005,Recruit,S5,T2
12/2/23,1006,Recruit,S5,T2
12/2/23,1007,Recruit,S5,T2
12/2/23,1008,Adult,S5,T2
12/2/23,1009,Recruit,S5,T2
12/2/23,1010,Recruit,S5,T2
12/2/23,1011,Recruit,S5,T2
12/2/23,1012,Adult,S5,T2
12/2/23,1013,Adult,S5,T2
12/2/23,1014,Recruit,S5,T2
12/2/23,1015,Adult,S5,T2
12/2/23,1016,Adult,S5,T2
12/2/23,1017,Adult,S5,T2
12/2/23,1018,Adult,S5,T2
12/2/23,1019,Recruit,S5,T2
12/2/23,1020,Recruit,S5,T2
12/2/23,1021,Recruit,S5,T2
12/2/23,1022,Adult,S5,T2
12/2/23,1023,Recruit,S5,T2
12/2/23,1024,Recruit,S5,T2
12/2/23,1025,Adult,S5,T2
12/2/23,1026,Recruit,S5,T2
12/2/23,1027,Recruit,S5,T2
12/2/23,1028,Adult,S5,T2
12/2/23,1029,Recruit,S5,T2
12/2/23,1030,Recruit,S5,T2
12/2/23,1031,Recruit,S5,T2
12/2/23,1032,Adult,S5,T2
12/2/23,1033,Recruit,S5,T2
12/2/23,1034,Recruit,S5,T2
12/2/23,1035,Adult,S5,T2
12/2/23,1036,Adult,S5,T2
12/2/23,1037,Adult,S5,T2
12/2/23,1038,Recruit,S5,T2
12/2/23,1039,Recruit,S5,T2
12/2/23,1040,Recruit,S5,T2
12/2/23,1041,Adult,S5,T2
12/2/23,1042,Recruit,S5,T2
12/2/23,1043,Recruit,S5,T2
12/2/23,1044,Adult,S5,T2
12/2/23,1045,Recruit,S5,T2
12/2/23,1046,Adult,S5,T2
12/2/23,1047,Recruit,S5,T2
12/2/23,1048,Recruit,S5,T2
12/2/23,1049,Recruit,S5,T2
12/2/23,1050,Recruit,S5,T2
12/2/23,1052,Recruit,S5,T2
12/2/23,1053,Adult,S5,T2
12/2/23,1054,Recruit,S5,T2
12/2/23,1055,Recruit,S5,T2
12/2/23,1088,Recruit,S5,T2
12/2/23,1089,Recruit,S5,T2
12/2/23,1090,Recruit,S5,T2
12/2/23,1091,Recruit,S5,T2
12/2/23,1092,Recruit,S5,T2
12/2/23,1093,Recruit,S5,T2
12/2/23,1094,Recruit,S5,T2
12/2/23,1095,Recruit,S5,T2
12/2/23,1096,Adult,S5,T2
12/2/23,1097,Recruit,S5,T2
12/2/23,1098,Adult,S5,T2
12/2/23,1099,Recruit,S5,T2
12/2/23,1100,Recruit,S5,T2
12/2/23,1101,Adult,S5,T2
12/2/23,1102,Recruit,S5,T2
12/2/23,1103,Adult,S5,T2
12/2/23,1104,Adult,S5,T2
12/2/23,1105,Recruit,S5,T2
12/2/23,1106,Recruit,S5,T2
12/2/23,1107,Recruit,S5,T2
12/2/23,1108,Adult,S5,T2
12/2/23,1161,Recruit,S5,T2
12/2/23,1162,Adult,S5,T2
12/2/23,1163,Recruit,S5,T2
12/2/23,1164,Recruit,S5,T2
12/2/23,1165,Adult,S5,T2
12/2/23,1166,Adult,S5,T2
12/2/23,1167,Adult,S5,T2
12/2/23,1168,Adult,S5,T2
12/2/23,1169,Recruit,S5,T2
12/2/23,1170,Recruit,S5,T2
12/2/23,1171,Adult,S5,T2
12/2/23,1172,Recruit,S5,T2
12/2/23,1173,Adult,S5,T2
12/2/23,1174,Adult,S5,T2
12/2/23,1175,Recruit,S5,T2
12/2/23,1176,Recruit,S5,T2
12/2/23,1177,Recruit,S5,T2
12/2/23,1178,Adult,S5,T2
12/2/23,1179,Adult,S5,T2
12/2/23,1180,Recruit,S5,T2
12/2/23,1181,Adult,S5,T2
12/2/23,1182,Recruit,S5,T2
15/02/2023,929,Recruit,S5,T3
15/02/2023,930,Adult,S5,T3
15/02/2023,931,Adult,S5,T3
15/02/2023,932,Recruit,S5,T3
15/02/2023,933,Recruit,S5,T3
15/02/2023,934,Recruit,S5,T3
15/02/2023,936,Recruit,S5,T3
15/02/2023,937,Recruit,S5,T3
15/02/2023,938,Recruit,S5,T3
15/02/2023,939,Recruit,S5,T3
15/02/2023,940,Recruit,S5,T3
15/02/2023,941,Adult,S5,T3
15/02/2023,942,Adult,S5,T3
15/02/2023,943,Adult,S5,T3
15/02/2023,944,Recruit,S5,T3
15/02/2023,945,Recruit,S5,T3
15/02/2023,946,Adult,S5,T3
15/02/2023,947,Recruit,S5,T3
15/02/2023,948,Recruit,S5,T3
15/02/2023,949,Recruit,S5,T3
15/02/2023,950,Recruit,S5,T3
15/02/2023,951,Recruit,S5,T3
15/02/2023,952,Recruit,S5,T3
15/02/2023,953,Recruit,S5,T3
15/02/2023,954,Recruit,S5,T3
15/02/2023,1047,Recruit,S5,T3
15/02/2023,1051,Adult,S5,T3
15/02/2023,1056,Adult,S5,T3
15/02/2023,1057,Recruit,S5,T3
15/02/2023,1058,Adult,S5,T3
15/02/2023,1059,Recruit,S5,T3
15/02/2023,1060,Adult,S5,T3
15/02/2023,1061,Recruit,S5,T3
15/02/2023,1062,Adult,S5,T3
15/02/2023,1063,Recruit,S5,T3
15/02/2023,1064,Adult,S5,T3
15/02/2023,1065,Adult,S5,T3
15/02/2023,1066,Recruit,S5,T3
15/02/2023,1067,Recruit,S5,T3
15/02/2023,1068,Recruit,S5,T3
15/02/2023,1069,Recruit,S5,T3
15/02/2023,1070,Recruit,S5,T3
15/02/2023,1071,Recruit,S5,T3
15/02/2023,1072,Adult,S5,T3
15/02/2023,1073,Adult,S5,T3
15/02/2023,1074,Recruit,S5,T3
15/02/2023,1075,Recruit,S5,T3
15/02/2023,1076,Recruit,S5,T3
15/02/2023,1077,Recruit,S5,T3
15/02/2023,1078,Recruit,S5,T3
15/02/2023,1079,Recruit,S5,T3
15/02/2023,1080,Recruit,S5,T3
15/02/2023,1081,Recruit,S5,T3
15/02/2023,1082,Recruit,S5,T3
15/02/2023,1083,Recruit,S5,T3
15/02/2023,1084,Recruit,S5,T3
15/02/2023,1085,Recruit,S5,T3
15/02/2023,1086,Recruit,S5,T3
15/02/2023,1087,Recruit,S5,T3
15/02/2023,1109,Recruit,S5,T3
15/02/2023,1110,Recruit,S5,T3
15/02/2023,1111,Recruit,S5,T3
15/02/2023,1112,Adult,S5,T3
15/02/2023,1113,Recruit,S5,T3
15/02/2023,1114,Recruit,S5,T3
15/02/2023,1115,Recruit,S5,T3
15/02/2023,1116,Recruit,S5,T3
15/02/2023,1117,Recruit,S5,T3
15/02/2023,1118,Recruit,S5,T3
15/02/2023,1119,Recruit,S5,T3
15/02/2023,1120,Recruit,S5,T3
15/02/2023,1121,Adult,S5,T3
15/02/2023,1122,Recruit,S5,T3
15/02/2023,1123,Recruit,S5,T3
15/02/2023,1124,NA,S5,T3
15/02/2023,1125,Adult,S5,T3
15/02/2023,1126,Adult,S5,T3
15/02/2023,1127,Recruit,S5,T3
15/02/2023,1128,Adult,S5,T3
15/02/2023,1129,Recruit,S5,T3
15/02/2023,1130,Adult,S5,T3
15/02/2023,1131,Adult,S5,T3
15/02/2023,1132,Recruit,S5,T3
15/02/2023,1134,Recruit,S5,T3
15/02/2023,1135,Recruit,S5,T3
15/02/2023,1136,Recruit,S5,T3
15/02/2023,1137,Recruit,S5,T3
15/02/2023,1138,Adult,S5,T3
15/02/2023,1139,Adult,S5,T3
15/02/2023,1140,Recruit,S5,T3
15/02/2023,1141,Recruit,S5,T3
15/02/2023,1142,Recruit,S5,T3
15/02/2023,1143,Recruit,S5,T3
15/02/2023,1144,Recruit,S5,T3
15/02/2023,1145,Recruit,S5,T3
15/02/2023,1146,Recruit,S5,T3
15/02/2023,1147,Recruit,S5,T3
15/02/2023,1153,Adult,S5,T3
15/02/2023,1156,Recruit,S5,T3
15/02/2023,1158,Recruit,S5,T3
15/02/2023,1159,Recruit,S5,T3
15/02/2023,1160,Adult,S5,T3
16/02/2023,1148,Recruit,S5,T4
16/02/2023,1149,Recruit,S5,T4
16/02/2023,1150,Recruit,S5,T4
16/02/2023,1151,Recruit,S5,T4
16/02/2023,1152,Recruit,S5,T4
16/02/2023,1154,Recruit,S5,T4
16/02/2023,1155,Recruit,S5,T4
16/02/2023,1157,Recruit,S5,T4
16/02/2023,1183,Recruit,S5,T4
16/02/2023,1184,Recruit,S5,T4
16/02/2023,1185,Recruit,S5,T4
16/02/2023,1186,Recruit,S5,T4
16/02/2023,1187,Recruit,S5,T4
16/02/2023,1188,Adult,S5,T4
16/02/2023,1189,Recruit,S5,T4
16/02/2023,1190,Recruit,S5,T4
16/02/2023,1191,Adult,S5,T4
16/02/2023,1192,Recruit,S5,T4
16/02/2023,1193,Recruit,S5,T4
16/02/2023,1194,Recruit,S5,T4
16/02/2023,1195,Recruit,S5,T4
16/02/2023,1196,Recruit,S5,T4
16/02/2023,1197,Recruit,S5,T4
16/02/2023,1198,Recruit,S5,T4
16/02/2023,1199,Recruit,S5,T4
16/02/2023,1200,Recruit,S5,T4
16/02/2023,1201,Adult,S5,T4
16/02/2023,1202,Recruit,S5,T4
16/02/2023,1203,Recruit,S5,T4
16/02/2023,1204,NA,S5,T4
16/02/2023,1205,Recruit,S5,T4
16/02/2023,1206,Recruit,S5,T4
16/02/2023,1207,Recruit,S5,T4
16/02/2023,1208,Recruit,S5,T4
16/02/2023,1209,Recruit,S5,T4
16/02/2023,1210,Recruit,S5,T4
16/02/2023,1211,Adult,S5,T4
16/02/2023,1212,Adult,S5,T4
16/02/2023,1213,Adult,S5,T4
16/02/2023,1214,Adult,S5,T4
16/02/2023,1215,Recruit,S5,T4
16/02/2023,1216,Recruit,S5,T4
16/02/2023,1217,Recruit,S5,T4
16/02/2023,1218,Recruit,S5,T4
16/02/2023,1219,Recruit,S5,T4
16/02/2023,1220,Recruit,S5,T4
16/02/2023,1221,Recruit,S5,T4
16/02/2023,1222,Recruit,S5,T4
16/02/2023,1223,Recruit,S5,T4
16/02/2023,1224,Recruit,S5,T4
16/02/2023,1225,Recruit,S5,T4
16/02/2023,1226,Recruit,S5,T4
16/02/2023,1227,Recruit,S5,T4
16/02/2023,1228,Recruit,S5,T4
16/02/2023,1229,Recruit,S5,T4
16/02/2023,1230,Recruit,S5,T4
16/02/2023,1261,Recruit,S5,T4
16/02/2023,1262,Recruit,S5,T4
16/02/2023,1263,Recruit,S5,T4
16/02/2023,1264,Recruit,S5,T4
16/02/2023,1265,Recruit,S5,T4
16/02/2023,1266,Recruit,S5,T4
16/02/2023,1267,Recruit,S5,T4
9/3/23,1294,Adult,S5,T5
9/3/23,1295,Adult,S5,T5
9/3/23,1296,Adult,S5,T5
9/3/23,1297,Recruit,S5,T5
9/3/23,1298,Recruit,S5,T5
9/3/23,1299,Recruit,S5,T5
9/3/23,1300,Recruit,S5,T5
9/3/23,1301,Adult,S5,T5
9/3/23,1302,Adult,S5,T5
9/3/23,1303,Adult,S5,T5
9/3/23,1316,Adult,S5,T5
9/3/23,1326,Recruit,S5,T5
9/3/23,1327,Adult,S5,T5
9/3/23,1328,Adult,S5,T5
9/3/23,1329,Recruit,S5,T5
